"pkgSchema","pkgName","qualifiedName","sourceFilename"
"DBM","AASVARE","AASVARE","AASVARE.CBL"
"DBM","AASVASO","AASVASO","AASVASO.CBL"
"DBM","AAVABC1","AAVABC1","AAVABC1.CBL"
"DBM","AAVAKRA","AAVAKRA","AAVAKRA.CBL"
"DBM","AAVALTI","AAVALTI","AAVALTI.CBL"
"DBM","AAVALTP","AAVALTP","AAVALTP.CBL"
"DBM","AAVAVEB","AAVAVEB","AAVAVEB.CBL"
"DBM","AAVBANK","AAVBANK","AAVBANK.CBL"
"DBM","AAVBYBH","AAVBYBH","AAVBYBH.CBL"
"DBM","AAVBYVG","AAVBYVG","AAVBYVG.CBL"
"DBM","AAVDISP","AAVDISP","AAVDISP.CBL"
"DBM","AAVEDIV","AAVEDIV","AAVEDIV.CBL"
"DBM","AAVEHSV","AAVEHSV","AAVEHSV.CBL"
"DBM","AAVENGP","AAVENGP","AAVENGP.CBL"
"DBM","AAVERAL","AAVERAL","AAVERAL.CBL"
